intro,title,star,info
史诗的终章。,指环王3：王者无敌,9.1,导演: 彼得·杰克逊 Peter Jackson   主演: 维果·莫腾森 Viggo Mortensen / ...
对天空的追逐，永不停止。 ,天空之城,9.0,导演: 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...
迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,疯狂动物城,9.2,导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore   主演: 金妮弗·...
旷古烁今。,大话西游之月光宝盒,8.9,导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...
爱情哪怕只有一天。,罗马假日,8.9,导演: 威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn / 格...
最后那些最无聊的事情，才是最值得怀念的。 ,飞屋环游记,8.9,导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson   主演: 爱德...
比利·怀德满分作品。,控方证人,9.6,导演: 比利·怀尔德 Billy Wilder   主演: 查尔斯·劳顿 Charles Laughton / ...
别样人生。,窃听风暴,9.1,导演: 弗洛里安·亨克尔·冯·多纳斯马 Florian Henckel von Donnersmarck   ...
4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,两杆大烟枪,9.1,导演: Guy Ritchie   主演: Jason Flemyng / Dexter Fletcher / Nick Moran
自由万岁。,飞越疯人院,9.0,导演: 米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols...
史上最美的探戈。,闻香识女人,8.9,导演: 马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino / 克里斯...
带着心爱的人在天空飞翔。,哈尔的移动城堡,8.9,导演: 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô / 木村拓...
电影的现实意义大过电影本身。,辩护人,9.1,导演: 杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song / 吴达洙 Dal-su O...
海豚的微笑，是世界上最高明的伪装。,海豚湾,9.3,导演: Louie Psihoyos   主演: John Chisholm / Mandy-Rae Cruikshank / Char...
一张面具背后的理想与革命。,V字仇杀队,8.8,导演: 詹姆斯·麦克特格 James McTeigue   主演: 娜塔莉·波特曼 Natalie Por...
当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,死亡诗社,9.0,导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...
优雅的孤独。,教父2,9.1,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...
爱是一切逻辑和原由。,美丽心灵,8.9,导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 詹妮弗·...
承前启后的史诗篇章。,指环王2：双塔奇兵,9.0,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...
你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,摔跤吧！爸爸,9.1,导演: 涅提·蒂瓦里 Nitesh Tiwari   主演: 阿米尔·汗 Aamir Khan / 法缇玛...
传说的开始。,指环王1：魔戒再现,8.9,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...
人生不能像做菜，把所有的料都准备好了才下锅。,饮食男女,9.1,导演: 李安 Ang Lee   主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...
暗恋的极致。,情书,8.8,导演: 岩井俊二 Shunji Iwai   主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...
往事如烟，无处祭奠。,美国往事,9.1,导演: 赛尔乔·莱翁内 Sergio Leone   主演: 罗伯特·德尼罗 Robert De Niro ...
动物版《哈姆雷特》。,狮子王,8.9,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马...
音乐能化解仇恨。,钢琴家,9.0,导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod...
受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,素媛,9.1,导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...
法式小清新。 ,天使爱美丽,8.7,导演: 让-皮埃尔·热内 Jean-Pierre Jeunet   主演: 奥黛丽·塔图 Audrey Tau...
警察抓小偷，老鼠玩死猫。,七宗罪,8.7,导演: 大卫·芬奇 David Fincher   主演: 摩根·弗里曼 Morgan Freeman / 布...
奔跑的孩子是天使。,小鞋子,9.2,导演: 马基德·马基迪 Majid Majidi   主演: Amir Farrokh Hashemian / 默罕...
以戏谑来戏谑戏谑。,被嫌弃的松子的一生,8.9,导演: 中岛哲也 Tetsuya Nakashima   主演: 中谷美纪 Miki Nakatani / 瑛太 E...
孪生蝙蝠侠大战克隆金刚狼。,致命魔术,8.8,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 休·杰克曼 Hugh Jackman...
你以为你以为的就是你以为的。,看不见的客人,8.8,导演: 奥里奥尔·保罗 Oriol Paulo   主演: 马里奥·卡萨斯 Mario Casas / 阿...
用音乐化解仇恨，让歌声串起美好。,音乐之声,8.9,导演: Robert Wise   主演: 朱丽·安德鲁斯 Julie Andrews / 克里斯托弗·普...
史诗大片的典范。,勇敢的心,8.8,导演: 梅尔·吉布森 Mel Gibson   主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...
在时间之河里感受溺水之苦。,本杰明·巴顿奇事,8.8,导演: 大卫·芬奇 David Fincher   主演: 凯特·布兰切特 Cate Blanchett / ...
浪漫忧郁的成人童话。,剪刀手爱德华,8.7,导演: Tim Burton   主演: 约翰尼·德普 Johnny Depp / 薇诺娜·瑞德 Winona ...
美丽无罪。,西西里的美丽传说,8.8,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 莫妮卡·贝鲁奇 Monica ...
故事的高级讲法。,低俗小说,8.8,导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 约翰·特拉沃尔塔 John Tra...
视觉革命。,黑客帝国,8.8,导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...
美利坚精神输出大片No1.,拯救大兵瑞恩,8.9,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...
安东尼·霍普金斯的顶级表演。,沉默的羔羊,8.7,导演: 乔纳森·戴米 Jonathan Demme   主演: 朱迪·福斯特 Jodie Foster / 安...
你给我翻译翻译，神马叫做TMD的惊喜。,让子弹飞,8.7,导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...
死可能是一道门，逝去并不是终结，而是超越，走向下一程。,入殓师,8.8,导演: 泷田洋二郎 Yôjirô Takita   主演: 本木雅弘 Masahiro Motoki / ...
人的命运被自己瞬间的抉择改变。,蝴蝶效应,8.7,导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...
爱情纠缠，男女一致。,春光乍泄,8.8,导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...
经典之作，历久弥新。,大闹天宫,9.3,导演: 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang   主演: 邱岳峰 Yuefeng Qiu /...
你是我最好的朋友，你是我唯一的朋友 。,玛丽和马克思,8.9,导演: 亚当·艾略特 Adam Elliot   主演: 托妮·科莱特 Toni Collette / 菲利...
人生中应该拥有这样的一段豁然开朗。,心灵捕手,8.8,导演: 格斯·范·桑特 Gus Van Sant   主演: 马特·达蒙 Matt Damon / 罗宾·...
“不要跟我比惨，我比你更惨”再适合这部电影不过了。,末代皇帝,9.0,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone / 陈...
一场华丽的意淫。,阳光灿烂的日子,8.8,导演: 姜文 Wen Jiang   主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao
人与自然的战争史诗。,幽灵公主,8.8,导演: 宫崎骏 Hayao Miyazaki   主演: 松田洋治 Yôji Matsuda / 石田百合...
深入内心的恐怖，出人意料的结局。,第六感,8.8,导演: M·奈特·沙马兰 M. Night Shyamalan   主演: 布鲁斯·威利斯 Bruce Wi...
寂寞没有期限。,重庆森林,8.7,导演: 王家卫 Kar Wai Wong   主演: 林青霞 Brigitte Lin / 金城武 Takeshi K...
小清新的故事里注入了大历史的情怀。,布达佩斯大饭店,8.8,导演: 韦斯·安德森 Wes Anderson   主演: 拉尔夫·费因斯 Ralph Fiennes / ...
昔日翩翩少年，今日大腹便便。,禁闭岛,8.7,导演: Martin Scorsese   主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...
童话世界的开端。,哈利·波特与魔法石,8.7,导演: Chris Columbus   主演: Daniel Radcliffe / Emma Watson / Rupert Grint
人言可畏。,狩猎,9.0,导演: 托马斯·温特伯格 Thomas Vinterberg   主演: 麦斯·米科尔森 Mads Mik...
抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,大鱼,8.7,导演: 蒂姆·波顿 Tim Burton   主演: 伊万·麦克格雷格 Ewan McGregor / 阿...
骗子大师和执著警探的你追我跑故事。 ,猫鼠游戏,8.8,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 莱昂纳多·迪卡普里奥 L...
最不可能的那个人永远是最可能的。,致命ID,8.6,导演: James Mangold   主演: John Cusack / Ray Liotta / Amanda Peet
百看不厌。 ,射雕英雄传之东成西就,8.7,导演: 刘镇伟 Jeffrey Lau   主演: 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...
相逢只要一瞬间，等待却像是一辈子。,甜蜜蜜,8.8,导演: 陈可辛 Peter Chan   主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...
每个人心中都有一座断背山。,断背山,8.7,导演: 李安 Ang Lee   主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...
我们都曾经是一一。,一一,8.9,导演: 杨德昌 Edward Yang   主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...
没有一人完全善，也没有一人完全恶。,告白,8.7,导演: 中岛哲也 Tetsuya Nakashima   主演: 松隆子 Takako Matsu / 冈田将生 ...
再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,阳光姐妹淘,8.8,导演: 姜炯哲 Hyeong-Cheol Kang   主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...
约翰尼·德普的独角戏。,加勒比海盗,8.6,导演: 戈尔·维宾斯基 Gore Verbinski   主演: 约翰尼·德普 Johnny Depp / ...
被上帝抛弃了的上帝之城。,上帝之城,8.9,导演: Kátia Lund / Fernando Meirelles   主演: Alexandre Rodrigues / Lea...
尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,穿条纹睡衣的男孩,8.9,导演: 马克·赫门 Mark Herman   主演: 阿沙·巴特菲尔德 Asa Butterfield / ...
大时代中的人生，小人物的悲喜。,摩登时代,9.2,导演: 查理·卓别林 Charles Chaplin   主演: 查理·卓别林 Charles Chaplin ...
绝对意义上的美轮美奂。,阿凡达,8.6,导演: 詹姆斯·卡梅隆 James Cameron   主演: 萨姆·沃辛顿 Sam Worthington ...
缘分是个连绵词，最美不过一瞬。,爱在黎明破晓前,8.7,导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...
年度最佳date movie。,消失的爱人,8.7,导演: 大卫·芬奇 David Fincher   主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙...
动画片的圣经。,风之谷,8.8,导演: 宫崎骏 Hayao Miyazaki   主演: 岛本须美 Sumi Shimamoto / 松田洋治 Y...
九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,爱在日落黄昏时,8.7,导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...
少女情怀总是诗。,侧耳倾听,8.8,导演: 近藤喜文 Yoshifumi Kondo   主演: 本名阳子 Youko Honna / 小林桂树 K...
穷尽一生，我们要学会的，不过是彼此拥抱。,超脱,8.8,导演: 托尼·凯耶 Tony Kaye   主演: 艾德里安·布洛迪 Adrien Brody / 马西...
梦的勾结。,红辣椒,8.9,导演: 今敏 Satoshi Kon   主演: 林原惠美 Megumi Hayashibara / 古谷彻 T...
两张绝世的脸。 ,倩女幽魂,8.6,导演: 程小东 Siu-Tung Ching   主演: 张国荣 Leslie Cheung / 王祖贤 Joey W...
恐怖分子的“秋菊打官司”。,恐怖直播,8.7,导演: 金秉祐 Byeong-woo Kim   主演: 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...
和谐的生活离不开摸头与被摸头。,驯龙高手,8.7,导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders   主演:...
那些静得只能听见呼吸的日子里，你明白孤独即生活。,小森林 夏秋篇,8.9,导演: 森淳一 Junichi Mori   主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...
有时候幸福需要等一等。 ,幸福终点站,8.7,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...
从没见过那么流氓的温柔，从没见过那么温柔的流氓。,菊次郎的夏天,8.7,导演: 北野武 Takeshi Kitano   主演: 北野武 Takeshi Kitano / 关口雄介 Yus...
幸福是生生不息，却难以触及的远。 ,萤火虫之墓,8.7,导演: 高畑勋 Isao Takahata   主演: 辰己努 / 白石绫乃 / 志乃原良子
我是一个演员。,喜剧之王,8.5,导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Ch...
曾经的那段美好会沉淀为一辈子的记忆。,借东西的小人阿莉埃蒂,8.7,导演: 米林宏昌 Hiromasa Yonebayashi   主演: 志田未来 Mirai Shida / 神木...
时代悲歌。,七武士,9.2,导演: 黑泽明 Akira Kurosawa   主演: 三船敏郎 Toshirô Mifune / 志村乔 ...
岁月流逝，来日可追。,岁月神偷,8.6,导演: 罗启锐 Alex Law   主演: 吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...
关于连环杀人悬案的集体回忆。,杀人回忆,8.7,导演: 奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...
Mr. I Don't Care其实也有Care的时候。,神偷奶爸,8.5,导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud   主演: ...
真相就在眼前。,电锯惊魂,8.7,导演: 詹姆斯·温 James Wan   主演: 雷·沃纳尔 Leigh Whannell / 加利·艾...
爱，是个动词。,真爱至上,8.5,导演: 理查德·柯蒂斯 Richard Curtis   主演: 休·格兰特 Hugh Grant / 柯林...
上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,贫民窟的百万富翁,8.5,导演: 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan   主演: 戴夫...
大海啊，不全是水。,海洋,9.0,导演: 雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud   主演:...
中国家庭的喜怒哀乐忍。,喜宴,8.8,导演: 李安 Ang Lee   主演: 赵文瑄 Winston Chao / 郎雄 Sihung Lung / 归亚...
像吃了苏打饼一样干脆的电影。,谍影重重3,8.7,导演: 保罗·格林格拉斯 Paul Greengrass   主演: 马特·达蒙 Matt Damon / ...
电影诗。,东邪西毒,8.6,导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 张曼玉 Maggie C...
一个针管引发的血案。,记忆碎片,8.5,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 盖·皮尔斯 Guy Pearce /...
生活在自己的世界里，也可以让周围的人显得可笑和渺小。,雨人,8.6,导演: 巴瑞·莱文森 Barry Levinson   主演: 达斯汀·霍夫曼 Dustin Hoffman ...
不要给它起名字，起了名字就有感情了。,怪兽电力公司,8.6,导演: 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman   主演: 约...
黑暗之美。,黑天鹅,8.5,导演: 达伦·阿罗诺夫斯基 Darren Aronofsky   主演: 娜塔莉·波特曼 Natalie...
英雄泪短，兄弟情长。 ,英雄本色,8.7,导演: 吴宇森 John Woo   主演: 周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...
老少皆宜，这就是好莱坞动画的魅力。,疯狂原始人,8.7,导演: 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders   主演...
当这个世界闭上双眼，他却敞开了怀抱。,卢旺达饭店,8.9,导演: 特瑞·乔治 Terry George   主演: 唐·钱德尔 Don Cheadle / 苏菲·奥...
传奇，不是每个人都可以拥有。,燃情岁月,8.7,导演: 爱德华·兹威克 Edward Zwick   主演: 安东尼·霍普金斯 Anthony Hopki...
永远看不腻的喜剧。,虎口脱险,8.9,导演: 杰拉尔·乌里 Gérard Oury   主演: 路易·德·菲耐斯 Louis de Funès...
尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,小森林 冬春篇,8.9,导演: 森淳一 Junichi Mori   主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...
《我是山姆》的《美丽人生》。,7号房的礼物,8.7,导演: 李焕庆 Hwan-kyeong Lee   主演: 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...
10年的完美句点。,哈利·波特与死亡圣器(下),8.7,导演: 大卫·叶茨 David Yates   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...
我们都有权利不与自己的过去和解。,海边的曼彻斯特,8.6,导演: 肯尼斯·罗纳根 Kenneth Lonergan   主演: 卡西·阿弗莱克 Casey Affle...
爱是摈弃傲慢与偏见之后的曙光。,傲慢与偏见,8.5,导演: 乔·怀特 Joe Wright   主演: 凯拉·奈特莉 Keira Knightley / 马修·...
爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,恋恋笔记本,8.5,导演: 尼克·卡索维茨 Nick Cassavetes   主演: 瑞恩·高斯林 Ryan Gosling /...
始于荒诞，止于更荒诞。,荒蛮故事,8.8,导演: 达米安·斯兹弗隆 Damián Szifron   主演: 达里奥·葛兰帝内提 Darío...
触不到的恋人。,萤火之森,8.7,导演: 大森贵弘 Takahiro Omori   主演: 佐仓绫音 Ayane Sakura / 内山昂辉 K...
坏人的好总是比好人的好来得更感人。,完美的世界,9.0,导演: 克林特·伊斯特伍德 Clint Eastwood   主演: 凯文·科斯特纳 Kevin Cos...
任何信念的力量，都无法改变命运。,教父3,8.8,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...
香港浪漫主义警匪动作片的巅峰之作。,纵横四海,8.7,导演: 吴宇森 John Woo   主演: 周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...
荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,心迷宫,8.6,导演: 忻钰坤 Yukun Xin   主演: 霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...
偷情本没有这样美。,花样年华,8.5,导演: 王家卫 Kar Wai Wong   主演: 梁朝伟 Tony Leung Chiu Wai / 张曼玉 Ma...
跨度十五年的欢乐与泪水。,玩具总动员3,8.8,导演: 李·昂克里奇 Lee Unkrich   主演: 汤姆·汉克斯 Tom Hanks / 蒂姆·艾...
不可猜的青春迷笛。 ,猜火车,8.5,导演: 丹尼·博伊尔 Danny Boyle   主演: 伊万·麦克格雷格 Ewan McGregor / ...
中国式内在的美国电影。,魂断蓝桥,8.8,导演: Mervyn LeRoy   主演: Vivien Leigh / Robert Taylor / Lucile Watson
有一些东西不应该被遗忘。,二十二,8.8,导演: 郭柯 Ke Guo   主演:
爱上未来的你。 ,穿越时空的少女,8.6,导演: 细田守 Mamoru Hosoda   主演: 仲里依纱 Riisa Naka / 石田卓也 Takuya...
骨灰级歌舞片。,雨中曲,9.0,导演: Stanley Donen / Gene Kelly   主演: Gene Kelly / Donald O'Connor / ...
华太师是黄霑，吴镇宇四大才子之一。,唐伯虎点秋香,8.4,导演: 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...
把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,时空恋旅人,8.6,导演: 理查德·柯蒂斯 Richard Curtis   主演: 多姆纳尔·格利森 Domhnall Gl...
Balalala~~~,超能陆战队,8.6,导演: 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams   主演: 斯科特...
诺兰就是保证。,蝙蝠侠：黑暗骑士崛起,8.6,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...
爱并不需要智商 。,我是山姆,8.8,导演: 杰茜·尼尔森 Jessie Nelson   主演: Sean Penn / Dakota Fanning / Mi...
沉醉在电影的情感和视听氛围中无法自拔。,请以你的名字呼唤我,8.8,导演: 卢卡·圭达尼诺 Luca Guadagnino   主演: 蒂莫西·柴勒梅德 Timothée ...
对爱的执着，可以超越一切。,人工智能,8.6,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 海利·乔·奥斯蒙 Haley...
世界离独裁只有五天。,浪潮,8.7,导演: 丹尼斯·甘塞尔 Dennis Gansel   主演: 尤尔根·沃格尔 Jürgen Vogel ...
松鼠才是角儿。,冰川时代,8.4,导演: 卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge   主演...
当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,朗读者,8.5,导演: 史蒂芬·戴德利 Stephen Daldry   主演: 凯特·温丝莱特 Kate Winslet ...
一个单凭体香达到高潮的男人。,香水,8.4,导演: 汤姆·提克威 Tom Tykwer   主演: 本·卫肖 Ben Whishaw / 艾伦·瑞克...
优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,血战钢锯岭,8.7,导演: 梅尔·吉布森 Mel Gibson   主演: 安德鲁·加菲尔德 Andrew Garfield /...
人生的N种可能性。,罗生门,8.7,导演: 黑泽明 Akira Kurosawa   主演: 三船敏郎 Toshirô Mifune / 千秋实 ...
这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,爆裂鼓手,8.6,导演: 达米安·沙泽勒 Damien Chazelle   主演: 迈尔斯·特勒 Miles Teller /...
好的剧本是，就算你猜到了结局也猜不到全部。,未麻的部屋,8.8,导演: 今敏 Satoshi Kon   主演: 岩男润子 Junko Iwao / 松本梨香 Rica Matsu...
只有有信仰的人才能说出事实真相。,一次别离,8.7,导演: 阿斯哈·法哈蒂  Asghar Farhadi   主演: 佩曼·莫阿迪 Peyman Moadi /...
